n,p,cens_rate,hetero,model_type,method,alpha,coverage,coverage_uncensored,coverage_censored,q_value,num_uncensored,num_censored
2000,50,0.3,False,rsf,Weighted CSA (论文标准方法-已修复),0.1,0.92,0.9432624113475178,0.864406779661017,1.3621603755299236,282,118
2000,50,0.3,True,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,3.3499802204017057,280,120
2000,50,0.3,True,cox,Weighted CSA (论文标准方法-已修复),0.1,0.785,0.8107142857142857,0.725,1.4076801599652922,280,120
2000,50,0.3,True,weibull,Weighted CSA (论文标准方法-已修复),0.1,0.92,0.9142857142857143,0.9333333333333333,0.8962680565030952,280,120
2000,50,0.3,True,rsf,Weighted CSA (论文标准方法-已修复),0.1,0.82,0.8392857142857143,0.775,1.1296091386126514,280,120
2000,1,0.5,False,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,3.2757557218704054,208,192
2000,1,0.5,False,cox,Weighted CSA (论文标准方法-已修复),0.1,0.97,0.9471153846153846,0.9947916666666666,3.030530520291724,208,192
2000,1,0.5,False,weibull,Weighted CSA (论文标准方法-已修复),0.1,0.985,0.9711538461538461,1.0,3.387692877406742,208,192
2000,1,0.5,False,rsf,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,10.161856341080696,208,192
2000,1,0.5,True,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,6.167040693339535,202,198
2000,1,0.5,True,cox,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,5.485048484695158,202,198
2000,1,0.5,True,weibull,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,5.656145545918525,202,198
2000,1,0.5,True,rsf,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,8.678076554267369,202,198
2000,50,0.5,False,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,10.402844949149404,197,203
2000,50,0.5,False,cox,Weighted CSA (论文标准方法-已修复),0.1,0.5075,0.8071065989847716,0.21674876847290642,inf,197,203
2000,50,0.5,False,weibull,Weighted CSA (论文标准方法-已修复),0.1,0.6375,0.8375634517766497,0.4433497536945813,2.7222894731158203,197,203
2000,50,0.5,False,rsf,Weighted CSA (论文标准方法-已修复),0.1,0.53,0.8324873096446701,0.23645320197044334,6.7750431295678535,197,203
2000,50,0.5,True,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,4.6346425108569465,203,197
2000,50,0.5,True,cox,Weighted CSA (论文标准方法-已修复),0.1,0.475,0.7931034482758621,0.14720812182741116,inf,203,197
2000,50,0.5,True,weibull,Weighted CSA (论文标准方法-已修复),0.1,0.78,0.8522167487684729,0.7055837563451777,2.8098122530998806,203,197
2000,50,0.5,True,rsf,Weighted CSA (论文标准方法-已修复),0.1,0.485,0.7980295566502463,0.16243654822335024,18.936697356184272,203,197
