n,p,cens_rate,hetero,model_type,alpha,coverage,coverage_uncensored,coverage_censored,mean_width,width_cv,q_value
100,1,0.5,True,rsf,0.1,0.85,0.8461538461538461,0.8571428571428571,4.855497370687255,0.08381187315626781,2.672943016781849
100,50,0.5,False,km,0.1,1.0,1.0,1.0,1.747252345134104,0.0,1.3378179846011562
100,50,0.5,False,cox,0.1,0.85,0.9090909090909091,0.7777777777777778,4.543498510873455,0.16687010584056497,3.602590565851939
100,50,0.5,False,weibull,0.1,0.8,0.8181818181818182,0.7777777777777778,34.6838895470582,0.3097472201442334,26.15085674299956
100,50,0.5,False,rsf,0.1,1.0,1.0,1.0,2.502594925503869,0.22760603348775144,1.5269483296386637
100,50,0.5,True,km,0.1,0.8,0.6,1.0,0.7744435446990842,1.4335751549927917e-16,0.3872217723495422
100,50,0.5,True,cox,0.1,0.8,0.7,0.9,inf,,inf
100,50,0.5,True,weibull,0.1,0.95,1.0,0.9,342.31812023494103,0.20881736783601543,316.7359323602792
100,50,0.5,True,rsf,0.1,0.95,0.9,1.0,1.756795678298968,0.2722623802595307,1.2594094729083887
500,1,0.1,False,km,0.1,0.87,0.8695652173913043,0.875,4.060688130920639,2.1872608559543763e-16,2.030344065460319
500,1,0.1,False,cox,0.1,0.9,0.9021739130434783,0.875,4.2820177078491675,0.01594416743574061,2.1632443074469596
500,1,0.1,False,weibull,0.1,0.89,0.8913043478260869,0.875,4.271055091020472,0.014878223802726784,2.155650655700917
500,1,0.1,False,rsf,0.1,0.92,0.9130434782608695,1.0,4.830596775623269,0.09832830613185128,2.655580473200021
500,1,0.1,True,km,0.1,0.95,0.9431818181818182,1.0,4.49180489873469,1.977330805152109e-16,2.2459024493673447
500,1,0.1,True,cox,0.1,0.96,0.9545454545454546,1.0,4.392868193143259,0.008372715677504373,2.2050101133222837
500,1,0.1,True,weibull,0.1,0.96,0.9545454545454546,1.0,4.390102386296027,0.01930756384621638,2.222954002919446
500,1,0.1,True,rsf,0.1,0.92,0.9090909090909091,1.0,4.486515865531635,0.06842302637623597,2.3442385105987666
500,50,0.1,False,km,0.1,0.89,0.8777777777777778,1.0,4.3831965159990185,2.0263258023184743e-16,3.094215685856955
500,50,0.1,False,cox,0.1,0.86,0.8777777777777778,0.7,3.065909505453859,0.27689630625833145,2.0062837755988743
500,50,0.1,False,weibull,0.1,0.89,0.8777777777777778,1.0,3.676711814909064,0.24600033216821843,2.7601606233263603
500,50,0.1,False,rsf,0.1,0.86,0.8666666666666667,0.8,2.562369641329722,0.2842546131174148,1.6827001724272534
500,50,0.1,True,km,0.1,0.91,0.9,1.0,4.803200661716325,3.6982773873234475e-16,3.6631097449106536
500,50,0.1,True,cox,0.1,0.81,0.8222222222222222,0.7,3.5370584235344604,0.29975611739883734,2.2967267330907366
500,50,0.1,True,weibull,0.1,0.92,0.9111111111111111,1.0,4.4886364610540515,0.2088812694963847,3.6409491030693983
500,50,0.1,True,rsf,0.1,0.93,0.9333333333333333,0.9,4.153776885993437,0.28855654288051497,2.9275724995927126
500,1,0.3,False,km,0.1,0.91,0.8955223880597015,0.9393939393939394,4.4061888690550886,2.015752038996449e-16,2.2030944345275447
500,1,0.3,False,cox,0.1,0.88,0.8955223880597015,0.8484848484848485,4.218677659673673,0.008386211526051724,2.117211315569504
500,1,0.3,False,weibull,0.1,0.89,0.8955223880597015,0.8787878787878788,4.222177467761326,0.015101399019222451,2.1273240528767947
500,1,0.3,False,rsf,0.1,0.88,0.8955223880597015,0.8484848484848485,4.862798264221784,0.11175087857830027,2.7049843230967068
500,1,0.3,True,km,0.1,0.83,0.8636363636363636,0.7647058823529411,3.8914849183939033,0.0,1.9457424591969514
500,1,0.3,True,cox,0.1,0.9,0.9242424242424242,0.8529411764705882,4.025996218535649,0.0,2.0129981092678246
500,1,0.3,True,weibull,0.1,0.91,0.9393939393939394,0.8529411764705882,4.123657703497818,0.00029454232327653663,2.0618898872793636
500,1,0.3,True,rsf,0.1,0.93,0.9696969696969697,0.8529411764705882,5.405335875391265,0.09673362831683782,3.024865958278295
500,50,0.3,False,km,0.1,0.88,0.8309859154929577,1.0,3.0164056276264377,2.944492649017562e-16,1.9643304164175757
500,50,0.3,False,cox,0.1,0.9,0.971830985915493,0.7241379310344828,3.875520540178211,0.29757393122424014,2.5698397238706154
500,50,0.3,False,weibull,0.1,0.83,0.8591549295774648,0.7586206896551724,2.7553666448679905,0.288018309933099,1.834943296187931
500,50,0.3,False,rsf,0.1,0.88,0.9295774647887324,0.7586206896551724,2.9664812601073525,0.29279160636611645,1.9901396245461822
500,50,0.3,True,km,0.1,0.88,0.8285714285714286,1.0,2.563985915678276,1.7320267133081478e-16,1.7311215659750498
500,50,0.3,True,cox,0.1,0.9,0.9571428571428572,0.7666666666666667,3.799701770060484,0.28687580045698885,2.5091278000264503
500,50,0.3,True,weibull,0.1,0.95,0.9285714285714286,1.0,3.4747686620839504,0.24725699011420718,2.5621910339964393
500,50,0.3,True,rsf,0.1,0.97,0.9571428571428572,1.0,3.4030661246244938,0.28896824997898485,2.268888671896461
500,1,0.5,False,km,0.1,0.87,0.9148936170212766,0.8301886792452831,4.229820650497756,2.0998016064714383e-16,2.1149103252488786
500,1,0.5,False,cox,0.1,0.89,0.8723404255319149,0.9056603773584906,4.20457259142857,0.011179109716346489,2.1142049386239727
500,1,0.5,False,weibull,0.1,0.88,0.851063829787234,0.9056603773584906,4.110899602035694,0.009794723119232941,2.0653205559127277
500,1,0.5,False,rsf,0.1,0.89,0.8936170212765957,0.8867924528301887,5.787678066556307,0.12384703489309803,3.31386049605523
